timestamp,model_name,quant_type,context_len,task_type,data_id,ttft_sec,gen_speed_tps,peak_vram_gb,offload_layers,output_valid,output_text
2026-06-06T20:09:45,Qwen_Qwen3-8B-Q4_K_M.gguf,GGUF_Q4_K_M,8192,summary,T1,2.4643,28.65,6.617,-1/36,True,本日の会議では、中小企業向けSaaS「クラウド勤怠Plus」のバージョン2.4のリリース状況が確認され、認証処理の改善やエラー率の安定により成功と判断されました。リリース後の問題として、ログイン画面のレイアウト崩れが発覚し、デザイン修正と実装が進められます。また、大口見込み顧客からCSVエクスポート機能の要望が強く、6月20日までに実装を目指すことが決定。決済バグの原因究明も優先度が高い。今後のタスクとして、ダッシュボードリニューアルのユーザーテスト、新規顧客資料の作成、APIドキュメントの整備などが進められることになりました。
2026-06-06T20:09:58,Qwen_Qwen3-8B-Q4_K_M.gguf,GGUF_Q4_K_M,8192,json_extract,T1,2.5737,28.63,6.617,-1/36,True,"{
  ""action_items"": [
    {
      ""task"": ""ログイン画面のUI崩れ修正"",
      ""assignee"": ""鈴木"",
      ""due_date"": ""2026-06-12"",
      ""priority"": ""high""
    },
    {
      ""task"": ""CSVエクスポート機能の実装"",
      ""assignee"": ""佐藤"",
      ""due_date"": ""2026-06-20"",
      ""priority"": ""high""
    },
    {
      ""task"": ""決済バグの再現調査"",
      ""assignee"": ""佐藤"",
      ""due_date"": ""2026-06-15"",
      ""priority"": ""high""
    },
    {
      ""task"": ""被験者募集"",
      ""assignee"": ""鈴木"",
      ""due_date"": ""2026-06-18"",
      ""priority"": ""medium""
    },
    {
      ""task"": ""新規顧客向け製品紹介資料の作成"",
      ""assignee"": ""山本"",
      ""due_date"": null,
      ""priority"": ""medium""
    },
    {
      ""task"": ""APIドキュメント整備"",
      ""assignee"": ""鈴木"",
      ""due_date"": null,
      ""priority"": ""low""
    }
  ]
}"
2026-06-06T20:10:13,Qwen_Qwen3-8B-Q4_K_M.gguf,GGUF_Q4_K_M,16384,summary,T1,3.0955,23.87,7.634,33/36,True,本日の会議では、中小企業向けSaaS「クラウド勤怠Plus」のバージョン2.4のリリース状況が確認され、認証処理の改善とエラー率の安定により成功と判断されました。リリース後の問題として、ログイン画面のレイアウト崩れが発覚し、デザイン修正と実装が進められます。また、大口見込み顧客からCSVエクスポート機能の要望が強く、6月20日までに実装を目指すことが決定。決済バグの原因究明も優先度が高い。今後のタスクとして、ダッシュボードリニューアルのユーザーテスト、新規顧客資料の作成、APIドキュメントの整備などが進められることになりました。
2026-06-06T20:10:26,Qwen_Qwen3-8B-Q4_K_M.gguf,GGUF_Q4_K_M,16384,json_extract,T1,3.1848,23.97,7.634,33/36,True,"{
  ""action_items"": [
    {
      ""task"": ""ログイン画面のUI崩れ修正"",
      ""assignee"": ""鈴木"",
      ""due_date"": ""2026-06-12"",
      ""priority"": ""high""
    },
    {
      ""task"": ""CSVエクスポート機能の実装"",
      ""assignee"": ""佐藤"",
      ""due_date"": ""2026-06-20"",
      ""priority"": ""high""
    },
    {
      ""task"": ""決済バグの再現調査"",
      ""assignee"": ""佐藤"",
      ""due_date"": ""2026-06-15"",
      ""priority"": ""high""
    },
    {
      ""task"": ""被験者募集"",
      ""assignee"": ""鈴木"",
      ""due_date"": ""2026-06-18"",
      ""priority"": ""medium""
    },
    {
      ""task"": ""新規顧客向け製品紹介資料の作成"",
      ""assignee"": ""山本"",
      ""due_date"": null,
      ""priority"": ""medium""
    },
    {
      ""task"": ""APIドキュメント整備"",
      ""assignee"": ""鈴木"",
      ""due_date"": null,
      ""priority"": ""low""
    }
  ]
}"
2026-06-06T20:10:44,Qwen_Qwen3-8B-Q4_K_M.gguf,GGUF_Q4_K_M,32768,summary,T1,5.477,10.84,7.322,18/36,True,本日の会議では、中小企業向けSaaS「クラウド勤怠Plus」のバージョン2.4のリリース状況が確認され、認証処理の改善やエラー率の安定により成功と判断されました。リリース後の問題として、ログイン画面のレイアウト崩れが発覚し、デザイン修正と実装が進められます。また、大口見込み顧客からCSVエクスポート機能の要望が強く、6月20日までに実装を目指すことが決定。決済バグの原因究明も優先度が高い。今後のタスクとして、ダッシュボードリニューアルのユーザーテスト、新規顧客資料の作成、APIドキュメントの整備などが進められることになりました。
2026-06-06T20:11:09,Qwen_Qwen3-8B-Q4_K_M.gguf,GGUF_Q4_K_M,32768,json_extract,T1,5.536,10.53,7.322,18/36,True,"{
  ""action_items"": [
    {
      ""task"": ""ログイン画面のUI崩れ修正"",
      ""assignee"": ""鈴木"",
      ""due_date"": ""2026-06-12"",
      ""priority"": ""high""
    },
    {
      ""task"": ""CSVエクスポート機能の実装"",
      ""assignee"": ""佐藤"",
      ""due_date"": ""2026-06-20"",
      ""priority"": ""high""
    },
    {
      ""task"": ""決済バグの再現調査"",
      ""assignee"": ""佐藤"",
      ""due_date"": ""2026-06-15"",
      ""priority"": ""high""
    },
    {
      ""task"": ""被験者募集（ユーザーテスト）"",
      ""assignee"": ""鈴木"",
      ""due_date"": ""2026-06-18"",
      ""priority"": ""medium""
    },
    {
      ""task"": ""新規顧客向け製品紹介資料の作成"",
      ""assignee"": ""山本"",
      ""due_date"": null,
      ""priority"": ""medium""
    },
    {
      ""task"": ""APIドキュメント整備"",
      ""assignee"": ""鈴木"",
      ""due_date"": null,
      ""priority"": ""low""
    }
  ]
}"
2026-06-06T20:11:46,Qwen_Qwen3-8B-Q4_K_M.gguf,GGUF_Q4_K_M,16384,summary,T2,9.2672,19.04,7.744,33/36,True,"2026年6月の月次事業レビューでは、中小企業向けSaaS「クラウド勤怠Plus」の5月実績が発表され、MRRは4.2％増の1,840万円で、ARRは2億2,080万円と計画より上振れ。しかし、成長率は前年同期より鈍化し、新規獲得の単価低下と解約増加が課題。解約の主な原因は機能の使いこなせないオンボーディングの問題で、初期導入の成功体験が重要とされる。7月の計画では、オンボーディング改善、エンタープライズ向け料金設計の見直し、多言語対応の検討、マーケティングキャンペーンの実施など、多岐にわたる施策が進められる。また、パートナー戦略の検討も進められ、全体で成長を加速させることが目標。"
2026-06-06T20:12:10,Qwen_Qwen3-8B-Q4_K_M.gguf,GGUF_Q4_K_M,16384,json_extract,T2,9.7992,19.83,7.759,33/36,True,"{
  ""action_items"": [
    {
      ""task"": ""解約原因分析レポートの作成"",
      ""assignee"": ""中村"",
      ""due_date"": ""2026-07-03"",
      ""priority"": ""high""
    },
    {
      ""task"": ""中堅企業層へのヒアリング"",
      ""assignee"": ""中村"",
      ""due_date"": ""2026-07-08"",
      ""priority"": ""medium""
    },
    {
      ""task"": ""オンボーディング改善施策の企画案作成"",
      ""assignee"": ""田中"",
      ""due_date"": ""2026-07-10"",
      ""priority"": ""high""
    },
    {
      ""task"": ""7月度予算案の作成"",
      ""assignee"": ""田中"",
      ""due_date"": ""2026-06-28"",
      ""priority"": ""high""
    },
    {
      ""task"": ""エンタープライズ料金設計の見直し"",
      ""assignee"": ""高橋"",
      ""due_date"": ""2026-07-15"",
      ""priority"": ""medium""
    },
    {
      ""task"": ""B社契約更新のクロージング"",
      ""assignee"": ""山本"",
      ""due_date"": ""2026-06-30"",
      ""priority"": ""high""
    },
    {
      ""task"": ""リード獲得キャンペーンの実施"",
      ""assignee"": ""小林"",
      ""due_date"": ""2026-07-01"",
      ""priority"": ""high""
    },
    {
      ""task"": ""競合比較資料の作成"",
      ""assignee"": ""小林"",
      ""due_date"": ""2026-07-05"",
      ""priority"": ""low""
    },
    {
      ""task"": ""APIレート制限機能の実装"",
      ""assignee"": ""佐藤"",
      ""due_date"": ""2026-07-20"",
      ""priority"": ""high""
    },
    {
      ""task"": ""多言語対応の技術調査とインフラコスト削減"",
      ""assignee"": ""佐藤"",
      ""due_date"": ""null"",
      ""priority"": ""low""
    },
    {
      ""task"": ""エンジニア採用"",
      ""assignee"": ""高橋"",
      ""due_date"": ""null"",
      ""priority"": ""medium""
    }
  ]
}"
2026-06-06T20:12:51,Qwen_Qwen3-8B-Q4_K_M.gguf,GGUF_Q4_K_M,32768,summary,T2,14.45,7.56,7.431,18/36,True,"2026年6月の月次事業レビューでは、中小企業向けSaaS「クラウド勤怠Plus」の5月実績が発表され、MRRは4.2％増の1,840万円で、ARRは2億2,080万円と計画より上振れ。しかし、成長率は前年同期より鈍化し、新規獲得の単価低下と解約増加が課題。解約の主な原因は機能の使いこなせないオンボーディングの問題で、初期導入の成功体験が重要と判断。7月にはオンボーディング改善、エンタープライズ向け料金設計の見直し、多言語対応の技術調査、マーケティングキャンペーンの実施など、多岐にわたる施策が進められる予定。また、パートナー戦略の検討も進められ、全体で獲得の質向上と定着率の向上を目指す。"
2026-06-06T20:13:38,Qwen_Qwen3-8B-Q4_K_M.gguf,GGUF_Q4_K_M,32768,json_extract,T2,15.2298,7.88,7.447,18/36,True,"{
  ""action_items"": [
    {
      ""task"": ""解約原因分析レポートの作成"",
      ""assignee"": ""中村"",
      ""due_date"": ""2026-07-03"",
      ""priority"": ""high""
    },
    {
      ""task"": ""中堅企業層へのヒアリング"",
      ""assignee"": ""中村"",
      ""due_date"": ""2026-07-08"",
      ""priority"": ""medium""
    },
    {
      ""task"": ""オンボーディング改善施策の企画案作成"",
      ""assignee"": ""田中"",
      ""due_date"": ""2026-07-10"",
      ""priority"": ""high""
    },
    {
      ""task"": ""7月度予算案の作成"",
      ""assignee"": ""田中"",
      ""due_date"": ""2026-06-28"",
      ""priority"": ""high""
    },
    {
      ""task"": ""エンタープライズ料金設計の見直し"",
      ""assignee"": ""高橋"",
      ""due_date"": ""2026-07-15"",
      ""priority"": ""medium""
    },
    {
      ""task"": ""B社契約更新のクロージング"",
      ""assignee"": ""山本"",
      ""due_date"": ""2026-06-30"",
      ""priority"": ""high""
    },
    {
      ""task"": ""リード獲得キャンペーンの実施"",
      ""assignee"": ""小林"",
      ""due_date"": ""2026-07-01"",
      ""priority"": ""high""
    },
    {
      ""task"": ""競合比較資料の作成"",
      ""assignee"": ""小林"",
      ""due_date"": ""2026-07-05"",
      ""priority"": ""low""
    },
    {
      ""task"": ""APIレート制限機能の実装"",
      ""assignee"": ""佐藤"",
      ""due_date"": ""2026-07-20"",
      ""priority"": ""high""
    },
    {
      ""task"": ""多言語対応の技術調査とインフラコスト削減"",
      ""assignee"": ""佐藤"",
      ""due_date"": ""null"",
      ""priority"": ""low""
    },
    {
      ""task"": ""エンジニア採用"",
      ""assignee"": ""高橋"",
      ""due_date"": ""null"",
      ""priority"": ""medium""
    }
  ]
}"
